Species;hg;class;stare lasy;L;T;C;M;SR;N;wh_freq;wh_sev;herb_freq;herb_sev;canopy_height;leaf_dmc;leaf_mass;leaf_size;SLA;growth_form;seed_mass;seed_number_per_shoot;reprod_B;strategy
Dryopteris carthusiana;ap;0;1;5;NA;3;NA;4;3;-1.903;0.265;-0.836;0.112;0.375;275.39;403.6875122;18468;24.835;Hemicryptophyte;NA;NA;sv (by seed and vegetatively);cs
Dryopteris dilatata;ap;vac pic;1;4;NA;3;6;NA;7;-1.91;0.279;-0.766;0.128;0.6;277;1949.97279;46655;20.96666667;Hemicryptophyte;NA;NA;sv (by seed and vegetatively);cs
Dryopteris filix-mas;ap;que fag;1;3;NA;3;5;5;6;-1.931;0.257;-0.778;0.1;0.75;295;3953.16974;95617;24.2;Hemicryptophyte;NA;5214192;sv (by seed and vegetatively);cs
Elymus repens;ap;art vul;0;7;6;7;NA;NA;7;-0.396;0.7;-0.315;0.708;0.75;273.0475;85.63702268;2361.666667;23.78223478;Geophyte;2.37525;1536.06;vvs (mostly vegetatively, rarely by seed);c
Epilobium adenocaulon;kn;ste med;0;7;6;NA;5;7;8;-0.868;0.459;-0.573;0.47;0.75;160.6925;28.23658847;917.9375;NA;Hemicryptophyte;0.074090909;352916.9697;sv (by seed and vegetatively);c
Epipactis atrorubens;sp;que fag;1;6;NA;3;3;8;2;-1.536;0.205;-0.831;0.157;0.225;221.095;67.20666667;1302.5;26.415;Geophyte;0.01;NA;sv (by seed and vegetatively);csr
Epipactis helleborine;ap;que fag;1;3;5;3;5;7;5;-1.946;0.232;-0.751;0.065;NA;204.1733333;95.035;2582.833333;28.81;Geophyte;0.004;1385502.76;sv (by seed and vegetatively);csr
Equisetum arvense;ap;art vul;0;6;NA;NA;NA;NA;3;-0.938;0.511;-0.348;0.518;0.325;237.805;178.645;167;10.7269967;Geophyte;NA;NA;sv (by seed and vegetatively);cr
Erigeron acer;ap;fes bro;0;9;5;7;4;8;2;-0.152;0.372;-0.139;0.403;0.325;194.6666667;18.82810837;368.3333333;18.96428572;Hemicryptophyte;0.11052;1157;s (by seed/by spore);r
Erysimum cheiranthoides;ap;ste med;0;7;5;NA;5;7;7;0.2;0.918;0.206;0.922;0.308333333;217.6466667;48.81298868;1216.666667;22.26449855;Therophyte;0.912384615;6751.088235;s (by seed/by spore);cr
Euonymus europaeus;sp;rha pru;0;6;5;3;5;8;5;-1.804;0.264;-0.963;0.132;3.416666667;243.5;NA;1181.5;14.63556863;Phanerophyte;52.1392;3.416666667;s (by seed/by spore);c
Euphorbia cyparissias;ap;fes bro;0;8;NA;4;3;NA;3;-1.177;0.255;-0.476;0.259;0.175;NA;NA;NA;25.66;Hemicryptophyte;1.9624;17345.26667;sv (by seed and vegetatively);csr
Eurhynchium angustirete;sp;0;0;5;4;7;4;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;moss;NA;NA;NA;NA
Eurhynchium hians;sp;0;0;7;4;5;5;7;NA;NA;NA;NA;NA;0.11;NA;NA;NA;NA;moss;NA;NA;NA;NA
Fagus sylvatica;kn;que fag;0;3;5;2;5;NA;NA;-1.986;0.226;-0.71;0.042;32.1875;309.25;NA;2027.675;17.38931466;Phanerophyte;177.0824;4444.909091;s (by seed/by spore);c
Festuca gigantea;sp;que fag;1;4;5;3;7;6;6;-1.773;0.327;-0.664;0.224;0.975;216;123.0660057;3341;28.73333333;Hemicryptophyte;2.8575;2972.095238;s (by seed/by spore);cs
Festuca ovina;ap;koe cor;0;7;NA;3;NA;3;1;-1.631;0.269;-0.63;0.214;0.1525;324.33;2.545583893;25.897;14.8875;Hemicryptophyte;0.435720879;6175.082258;s (by seed/by spore);csr
Festuca pratensis;ap;mol arr;0;8;NA;3;6;NA;6;-0.198;0.336;-0.131;0.361;0.55;265.255;24.92950873;527.5;25.01666667;Hemicryptophyte;1.94775;125630.75;s (by seed/by spore);c
Festuca rubra;ap;mol arr;0;NA;NA;5;6;6;NA;-0.547;0.299;-0.324;0.325;0.483333333;267;24.58139481;382;20.03014286;Hemicryptophyte;0.910514286;30068.25;sv (by seed and vegetatively);c
Fissidens taxifolius;sp;0;0;5;4;5;6;7;NA;NA;NA;NA;NA;0.02;NA;NA;NA;NA;moss;NA;NA;NA;NA
Fragaria vesca;ap;tri ger;0;7;NA;5;5;NA;6;-1.795;0.284;-0.699;0.175;0.108333333;388;132.861162;2393.5;23.33030769;Hemicryptophyte;19.87672667;6643.451515;sv (by seed and vegetatively);csr
Frangula alnus;sp;rha pru;0;6;6;5;8;4;NA;-1.893;0.234;-0.868;0.077;3.857142857;256;78.8;964.55;19.68483525;Phanerophyte;125.9291429;226.5;s (by seed/by spore);c
Fraxinus excelsior;ap;que fag;0;4;5;3;NA;7;7;-1.917;0.246;-0.797;0.087;26.14285714;256.5;NA;1426.54;13.56451573;Phanerophyte;58.4213475;25002;s (by seed/by spore);c
Fraxinus pensylvanica;kn;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;NA;NA;NA;NA;Phanerophyte;35.7;NA;ssv (mostly by seed, rarely vegetatively);c
Galeopsis pubescens;ap;art vul;0;7;5;4;5;NA;6;-1.697;0.451;-0.734;0.362;0.35;170.87;8.34;NA;65.36;Therophyte;4.409;70277.77777;s (by seed/by spore);cr
Galeopsis tetrahit;ap;art vul;0;7;NA;3;5;NA;6;-1.316;0.632;-0.561;0.602;0.35;176;82.27985687;2390;31.50333333;Therophyte;4.347911111;4090.333333;s (by seed/by spore);cr
Galium aparine;ap;art vul;0;7;6;3;NA;6;8;-1.252;0.616;-0.619;0.592;0.708333333;140;5.695810579;161.3333333;34.67857143;Liana;9.445486667;2310.794872;s (by seed/by spore);cr
Galium boreale;sp;mol arr;0;6;6;7;6;8;2;-1.102;0.274;-0.353;0.278;0.316666667;209.97;2.395;49.005;19.36809594;Hemicryptophyte;0.709;103.7;sv (by seed and vegetatively);csr
Galium mollugo;ap;mol arr;0;7;6;3;4;7;NA;-0.914;0.341;-0.372;0.352;0.5;169.4566667;2.369590205;80.5;27.22450549;Hemicryptophyte;0.732290909;44524.91667;s (by seed/by spore);c
Galium palustre;sp;phr;0;6;5;3;9;NA;4;-0.923;0.223;-0.605;0.248;0.435;181.26;0.740870733;32.5;34.3;Hemicryptophyte;0.9095;299.575;sv (by seed and vegetatively);cs
Galium verum;ap;0;0;7;6;NA;4;7;3;-0.739;0.261;-0.322;0.285;0.383333333;228.1325;0.803690617;15.66666667;21.37469129;Hemicryptophyte;0.505970833;6201.7125;sv (by seed and vegetatively);cs
Geranium robertianum;ap;art vul;0;5;NA;3;NA;NA;7;-1.804;0.307;-0.803;0.194;0.216666667;185.6666667;41.1824692;1224;32.40857143;Hemicryptophyte;1.453258333;2362.735714;s (by seed/by spore);csr
Geum rivale;sp;mol arr;0;6;NA;5;8;NA;4;-1.168;0.29;-0.403;0.288;0.316666667;237;288.0873672;6428;20.61973113;Hemicryptophyte;1.024766667;1368.257143;sv (by seed and vegetatively);csr
