kategoria;spec;L;T;C;M;SR;N;canopy_height;leaf_dmc;leaf_mass;leaf_size;SLA;life_span;seed_mass;seed_number_per_shoot;strategy;dominant_pollinator;class;fam
nie;Lycium barbarum;9;7;5;5;7;4;2.166666667;163.93;84.83666667;1310.875;14.25;NA;NA;29;c (competitors);selfing;Art vul;Solanaceae
nie;Lycopersicon esculentum;NA;NA;NA;NA;NA;NA;0.95;NA;NA;NA;NA;NA;3;NA;cr (competitors/ruderals);selfing;0;Solanaceae
wysoka;Lycopodium clavatum;8;4;3;4;2;2;0.115;380.73;0.12;2.39;21.59;NA;NA;2902800;cs (competitors/stress-tolerators);NA;Vac-Pic;Lycopodiaceae
nie;Lycopus europaeus;7;6;5;9;7;7;0.566666667;103.92;29.4;1814.75;63.18;perennials;0.233163636;9385.805556;cs (competitors/stress-tolerators);insect;Aln glu;Lamiaceae
niska;Lysimachia nummularia;4;6;4;6;NA;NA;0.45;227.65;10.07904268;284.3333333;30.50359897;perennials;0.5;8156.666667;csr (competitors/stress-tolerators/ruderals);insect;Mol-Arr;Primulaceae
wysoka;Lysimachia thyrsiflora;7;6;1;9;NA;4;0.416666667;200.69;31.65;1613.75;38.07;perennials;NA;92.4;cs (competitors/stress-tolerators);selfing;Phr aus;Primulaceae
niska;Lysimachia vulgaris;6;NA;NA;8;NA;NA;0.896;242.6233333;95.08408684;2539.25;26.36571429;perennials;0.3224;21172.9;cs (competitors/stress-tolerators);selfing;Mol-Arr;Primulaceae
nie;Lythrum salicaria;7;5;5;8;6;NA;0.708333333;179.845;51.07559052;1742.375;27.05666667;perennials;0.085928;85051.13093;cs (competitors/stress-tolerators);selfing;Mol-Arr;Lythraceae
nie;Mahonia aquifolium;NA;NA;NA;NA;NA;NA;1.166666667;432;1314.839972;10868;8.975;perennials;9.1485;6;c (competitors);selfing;0;Berberidaceae
niska;Maianthemum bifolium;3;NA;6;5;3;3;0.125;240.685;1594.375;1574.25;33.14051282;NA;46.8332;616.3688889;s (stress-tolerators);selfing;0;Liliaceae
nie;Malus domestica;NA;NA;NA;NA;NA;NA;10;NA;NA;NA;25.83979328;perennials;NA;NA;c (competitors);insect;0;Rosaceae
nie;Malus sylvestris;7;6;3;5;7;5;6;248.8;200.2542463;2910.14;18.75130719;NA;23.634;2500;c (competitors);insect;0;Rosaceae
